ID,marital,housing,loan,contact,y
5069,single,no,no,cellular,否
5070,married,yes,no,unknown,否
5071,married,yes,yes,cellular,否
5072,married,yes,no,unknown,否
5073,single,no,no,cellular,否
5074,married,yes,no,unknown,否
5075,married,yes,no,cellular,否
5076,married,no,no,cellular,否
5077,divorced,yes,no,cellular,否
5078,married,yes,yes,cellular,否
5079,single,yes,no,cellular,否
5080,married,yes,yes,cellular,否
5081,single,yes,no,unknown,否
5082,divorced,yes,no,telephone,否
5083,married,no,yes,cellular,否
5084,married,yes,no,cellular,否
5085,married,no,no,unknown,否
5086,married,yes,no,cellular,否
5087,single,yes,no,cellular,否
5088,married,yes,no,unknown,否
5089,married,yes,no,unknown,否
5090,single,no,yes,cellular,否
5091,married,no,no,unknown,否
5092,divorced,yes,yes,unknown,否
5093,divorced,no,no,telephone,否
5094,single,no,no,cellular,否
5095,married,yes,yes,cellular,否
5096,married,no,no,unknown,否
5097,divorced,yes,no,unknown,否
5098,married,yes,no,telephone,否
5099,married,no,no,cellular,否
5100,married,yes,no,unknown,否
5101,married,yes,no,cellular,否
5102,married,no,no,telephone,否
5103,married,yes,no,unknown,否
5104,married,yes,yes,cellular,否
5105,married,yes,no,unknown,否
5106,married,no,no,cellular,否
5107,divorced,yes,yes,cellular,否
5108,single,yes,yes,cellular,否
5109,married,yes,no,cellular,否
5110,married,yes,no,cellular,否
5111,married,no,no,cellular,否
5112,single,no,no,cellular,否
5113,married,yes,no,unknown,否
5114,married,yes,no,unknown,否
5115,married,yes,no,cellular,否
5116,married,yes,no,telephone,否
5117,married,no,no,cellular,否
5118,married,yes,no,cellular,否
5119,single,yes,no,cellular,否
5120,single,yes,no,cellular,否
5121,divorced,yes,no,unknown,否
5122,married,no,no,cellular,否
5123,divorced,no,yes,cellular,否
5124,single,yes,no,cellular,否
5125,married,yes,no,unknown,否
5126,married,no,no,cellular,否
5127,married,yes,no,unknown,否
5128,single,no,no,cellular,否
5129,married,no,no,cellular,否
5130,single,no,no,cellular,否
5131,single,yes,yes,cellular,否
5132,single,yes,no,cellular,否
5133,married,no,yes,cellular,否
5134,single,yes,no,cellular,否
5135,married,no,no,telephone,否
5136,married,no,no,cellular,否
5137,married,no,no,unknown,否
5138,married,no,no,cellular,否
5139,married,no,no,cellular,否
5140,divorced,no,no,cellular,否
5141,divorced,no,no,unknown,否
5142,married,no,no,cellular,否
5143,single,yes,yes,cellular,否
5144,married,yes,yes,cellular,否
5145,married,no,no,unknown,否
5146,divorced,yes,no,cellular,否
5147,single,yes,no,unknown,否
5148,married,yes,no,unknown,否
5149,divorced,yes,no,cellular,否
5150,married,yes,no,unknown,否
5151,divorced,yes,no,cellular,否
5152,single,no,no,cellular,否
5153,married,yes,yes,cellular,否
5154,single,no,no,cellular,否
5155,married,no,no,cellular,否
5156,married,yes,yes,unknown,否
5157,single,yes,no,unknown,否
5158,married,no,no,cellular,否
5159,divorced,no,no,cellular,否
5160,married,yes,yes,unknown,否
5161,married,no,no,cellular,否
5162,married,no,no,cellular,否
5163,married,no,yes,cellular,否
5164,single,no,no,cellular,否
5165,married,no,no,cellular,否
5166,married,yes,yes,cellular,否
5167,married,yes,no,telephone,否
5168,single,no,no,unknown,否
5169,married,no,no,cellular,否
5170,married,no,no,cellular,否
5171,married,yes,no,cellular,否
5172,single,yes,no,unknown,否
5173,single,yes,no,unknown,否
5174,divorced,no,no,cellular,否
5175,married,yes,no,unknown,否
5176,married,no,yes,unknown,否
5177,married,no,no,unknown,否
5178,divorced,yes,yes,unknown,否
5179,single,no,yes,cellular,否
5180,divorced,no,no,cellular,否
5181,single,yes,no,cellular,否
5182,single,no,no,cellular,否
5183,married,no,no,cellular,否
5184,married,yes,no,cellular,否
5185,single,no,no,cellular,否
5186,married,yes,yes,telephone,否
5187,single,yes,no,cellular,否
5188,married,no,no,cellular,否
5189,single,yes,no,cellular,否
5190,married,no,no,cellular,否
5191,married,yes,no,cellular,否
5192,single,no,no,telephone,否
5193,married,yes,no,cellular,否
5194,single,no,no,cellular,否
5195,married,yes,yes,cellular,否
5196,married,yes,no,unknown,否
5197,single,yes,no,telephone,否
5198,married,yes,no,unknown,否
5199,single,yes,no,cellular,否
5200,single,no,no,cellular,否
5201,married,no,yes,unknown,否
5202,married,yes,yes,cellular,否
5203,married,no,yes,unknown,否
5204,married,yes,no,cellular,否
5205,married,yes,no,cellular,否
5206,single,no,no,telephone,否
5207,married,no,no,unknown,否
5208,single,no,yes,unknown,否
5209,married,yes,no,unknown,否
5210,married,no,no,cellular,否
5211,divorced,yes,no,unknown,否
5212,married,yes,no,cellular,否
5213,married,yes,no,cellular,否
5214,divorced,yes,no,cellular,否
5215,married,no,no,cellular,否
5216,married,no,no,cellular,否
5217,divorced,yes,no,cellular,否
5218,married,no,no,cellular,否
5219,divorced,yes,no,telephone,否
5220,married,no,no,cellular,否
5221,single,yes,no,unknown,否
5222,divorced,yes,yes,cellular,否
5223,married,no,no,cellular,否
5224,married,yes,no,cellular,否
5225,divorced,no,no,telephone,否
5226,divorced,yes,no,unknown,否
5227,married,no,no,cellular,否
5228,divorced,no,no,cellular,否
5229,single,yes,no,unknown,否
5230,married,yes,no,cellular,否
5231,married,no,no,cellular,否
5232,married,yes,no,unknown,否
5233,married,yes,yes,unknown,否
5234,married,yes,no,unknown,否
5235,single,yes,no,cellular,否
5236,divorced,yes,no,cellular,否
5237,married,yes,yes,cellular,否
5238,divorced,yes,yes,cellular,否
5239,married,no,no,telephone,否
5240,married,yes,yes,unknown,否
5241,married,yes,no,unknown,否
5242,married,yes,yes,cellular,否
5243,married,yes,no,cellular,否
5244,married,yes,no,cellular,否
5245,married,yes,no,unknown,否
5246,married,no,no,cellular,否
5247,single,yes,no,unknown,否
5248,divorced,yes,no,cellular,否
5249,single,no,yes,unknown,否
5250,single,yes,no,cellular,否
5251,married,yes,no,unknown,否
5252,married,yes,no,cellular,否
5253,single,yes,no,unknown,否
5254,single,no,no,cellular,否
5255,married,yes,no,unknown,否
5256,divorced,yes,no,cellular,否
5257,single,no,no,cellular,否
5258,single,yes,no,unknown,否
5259,single,no,no,unknown,否
5260,married,yes,no,cellular,否
5261,single,no,no,telephone,否
5262,married,no,no,cellular,否
5263,married,no,no,cellular,否
5264,married,yes,no,cellular,否
5265,single,no,no,telephone,否
5266,single,no,no,cellular,否
5267,single,yes,no,cellular,否
5268,single,yes,no,cellular,否
5269,divorced,yes,yes,cellular,否
5270,married,no,no,unknown,否
5271,single,no,no,cellular,否
5272,married,yes,no,cellular,否
5273,married,yes,no,cellular,否
5274,married,yes,no,cellular,否
5275,married,no,no,cellular,否
5276,single,yes,no,telephone,否
5277,married,no,no,cellular,否
5278,divorced,yes,yes,cellular,否
5279,married,yes,no,cellular,否
5280,married,yes,no,cellular,否
5281,single,yes,yes,cellular,否
5282,married,no,no,cellular,否
5283,single,no,no,cellular,否
5284,single,yes,no,cellular,否
5285,single,yes,no,unknown,否
5286,married,yes,no,unknown,否
5287,single,no,no,cellular,否
5288,divorced,yes,no,cellular,否
5289,divorced,no,no,cellular,否
5290,single,no,no,cellular,否
5291,married,yes,no,cellular,否
5292,married,no,no,cellular,否
5293,married,yes,no,cellular,否
5294,married,yes,no,unknown,否
5295,married,yes,no,unknown,否
5296,divorced,yes,yes,unknown,否
5297,married,yes,no,unknown,否
5298,single,yes,no,unknown,否
5299,single,no,no,cellular,否
5300,single,no,no,cellular,否
5301,divorced,yes,no,unknown,否
5302,single,yes,no,unknown,否
5303,married,no,no,cellular,否
5304,married,yes,no,telephone,否
5305,married,no,no,unknown,否
5306,divorced,yes,no,cellular,否
5307,single,yes,yes,unknown,否
5308,divorced,yes,no,cellular,否
5309,divorced,yes,no,unknown,否
5310,married,no,yes,unknown,否
5311,married,yes,yes,cellular,否
5312,single,no,yes,cellular,否
5313,single,yes,no,unknown,否
5314,married,yes,no,telephone,否
5315,single,yes,no,cellular,否
5316,single,yes,yes,cellular,否
5317,married,yes,no,unknown,否
5318,married,yes,yes,cellular,否
5319,single,yes,no,cellular,否
5320,single,yes,no,unknown,否
5321,married,no,yes,cellular,否
5322,married,no,no,cellular,否
5323,divorced,yes,no,unknown,否
5324,married,no,no,unknown,否
5325,married,no,no,cellular,否
5326,single,yes,no,unknown,否
5327,married,yes,yes,cellular,否
5328,single,yes,no,unknown,否
5329,single,yes,no,cellular,否
5330,married,no,no,cellular,否
5331,married,yes,no,unknown,否
5332,single,no,no,cellular,否
5333,married,yes,no,unknown,否
5334,divorced,yes,no,cellular,否
5335,single,yes,no,unknown,否
5336,married,no,yes,cellular,否
5337,married,yes,no,cellular,否
5338,single,yes,no,cellular,否
5339,married,yes,no,telephone,否
5340,married,no,no,cellular,否
5341,married,yes,no,unknown,否
5342,divorced,yes,no,cellular,否
5343,married,yes,no,cellular,否
5344,married,yes,no,cellular,否
5345,married,yes,no,unknown,否
5346,divorced,no,no,cellular,否
5347,single,no,yes,cellular,否
5348,single,no,no,unknown,否
5349,divorced,no,no,cellular,否
5350,single,yes,no,cellular,否
5351,married,yes,no,cellular,否
5352,married,yes,no,unknown,否
5353,married,no,no,cellular,否
5354,married,no,yes,cellular,否
5355,single,yes,no,telephone,否
5356,single,yes,no,cellular,否
5357,married,no,no,unknown,否
5358,married,yes,yes,unknown,否
5359,married,yes,no,cellular,否
5360,married,yes,no,telephone,否
5361,married,yes,no,unknown,否
5362,married,no,no,telephone,否
5363,married,no,no,cellular,否
5364,single,no,no,cellular,否
5365,married,no,no,cellular,否
5366,married,yes,no,unknown,否
5367,married,yes,no,unknown,否
5368,divorced,no,no,cellular,否
5369,married,yes,yes,cellular,否
5370,married,yes,yes,unknown,否
5371,married,no,yes,cellular,否
5372,married,yes,yes,unknown,否
5373,single,yes,yes,unknown,否
5374,married,yes,no,telephone,否
5375,divorced,yes,no,unknown,否
5376,married,yes,no,unknown,否
5377,divorced,yes,no,cellular,否
5378,married,yes,no,cellular,否
5379,married,yes,no,telephone,否
5380,divorced,yes,yes,unknown,否
5381,single,no,yes,cellular,否
5382,single,yes,no,unknown,否
5383,married,yes,yes,cellular,否
5384,married,no,no,cellular,否
5385,married,yes,yes,cellular,否
5386,married,yes,no,unknown,否
5387,married,no,no,telephone,否
5388,single,yes,no,unknown,否
5389,single,yes,no,cellular,否
5390,married,yes,yes,unknown,否
5391,divorced,no,no,cellular,否
5392,married,yes,no,cellular,否
5393,married,yes,no,cellular,否
5394,married,no,yes,cellular,否
5395,single,yes,no,cellular,否
5396,single,no,no,unknown,否
5397,single,yes,yes,unknown,否
5398,single,yes,no,cellular,否
5399,married,yes,yes,unknown,否
5400,married,yes,no,unknown,否
5401,married,yes,no,unknown,否
5402,married,no,no,telephone,否
5403,married,yes,no,cellular,否
5404,married,no,no,unknown,否
5405,married,no,no,unknown,否
5406,married,no,no,cellular,否
5407,married,yes,no,cellular,否
5408,married,no,no,cellular,否
5409,married,no,no,cellular,否
5410,married,yes,no,unknown,否
5411,married,no,no,cellular,否
5412,divorced,yes,no,cellular,否
5413,married,no,no,unknown,否
5414,single,no,no,unknown,否
5415,divorced,no,no,cellular,否
5416,single,yes,no,cellular,否
5417,single,yes,no,cellular,否
5418,single,yes,yes,unknown,否
5419,married,yes,no,unknown,否
5420,married,no,no,unknown,否
5421,married,no,no,cellular,否
5422,married,yes,no,telephone,否
5423,married,no,no,cellular,否
5424,single,yes,no,unknown,否
5425,married,no,no,cellular,否
5426,single,yes,no,cellular,否
5427,single,yes,no,cellular,否
5428,married,no,no,unknown,否
5429,single,yes,no,cellular,否
5430,single,yes,no,cellular,否
5431,married,no,no,telephone,否
5432,married,yes,no,cellular,否
5433,single,yes,no,unknown,否
5434,divorced,no,no,cellular,否
5435,divorced,yes,no,unknown,否
5436,married,yes,no,telephone,否
5437,married,no,no,unknown,否
5438,married,yes,yes,unknown,否
5439,single,yes,no,cellular,否
5440,married,no,no,cellular,否
5441,married,yes,no,telephone,否
5442,married,no,no,cellular,否
5443,married,yes,no,unknown,否
5444,single,yes,no,unknown,否
5445,single,yes,no,unknown,否
5446,single,yes,no,unknown,否
5447,single,no,no,cellular,否
5448,divorced,yes,no,cellular,否
5449,married,yes,no,unknown,否
5450,married,no,no,cellular,否
5451,single,no,no,cellular,否
5452,married,no,no,cellular,否
5453,married,yes,yes,unknown,否
5454,married,yes,no,cellular,否
5455,single,yes,yes,cellular,否
5456,divorced,yes,yes,cellular,否
5457,single,no,yes,cellular,否
5458,single,yes,no,cellular,否
5459,married,yes,no,telephone,否
5460,married,yes,no,cellular,否
5461,married,yes,no,telephone,否
5462,single,no,no,unknown,否
5463,married,no,no,cellular,否
5464,single,no,no,cellular,否
5465,single,yes,no,unknown,否
5466,married,yes,yes,unknown,否
5467,single,no,no,cellular,否
5468,married,yes,no,cellular,否
5469,married,yes,no,unknown,否
5470,married,yes,no,cellular,否
5471,single,yes,no,cellular,否
5472,divorced,yes,yes,cellular,否
5473,married,yes,yes,cellular,否
5474,single,yes,no,cellular,否
5475,single,no,no,cellular,否
5476,divorced,no,yes,cellular,否
5477,married,yes,no,unknown,否
5478,single,no,no,cellular,否
5479,divorced,no,no,cellular,否
5480,married,no,yes,telephone,否
5481,married,yes,no,cellular,否
5482,single,yes,no,unknown,否
5483,married,yes,no,telephone,否
5484,married,yes,no,cellular,否
5485,married,yes,no,unknown,否
5486,married,no,no,cellular,否
5487,single,yes,no,cellular,否
5488,married,yes,no,cellular,否
5489,single,yes,no,unknown,否
5490,married,no,no,telephone,否
5491,married,yes,no,cellular,否
5492,married,yes,yes,cellular,否
5493,married,no,no,cellular,否
5494,single,yes,yes,cellular,否
5495,married,no,yes,telephone,否
5496,single,yes,no,cellular,否
5497,single,no,no,cellular,否
5498,divorced,no,yes,cellular,否
5499,married,no,no,cellular,否
5500,single,yes,yes,cellular,否
5501,married,no,no,unknown,否
5502,divorced,yes,yes,cellular,否
5503,married,yes,no,unknown,否
5504,married,yes,no,telephone,否
5505,divorced,yes,no,cellular,否
5506,married,no,no,cellular,否
5507,married,yes,no,cellular,否
5508,married,yes,no,cellular,否
5509,divorced,no,yes,cellular,否
5510,single,no,no,cellular,否
5511,married,yes,yes,unknown,否
5512,single,no,no,telephone,否
5513,divorced,yes,no,cellular,否
5514,married,no,no,cellular,否
5515,married,yes,no,cellular,否
5516,married,yes,no,cellular,否
5517,single,yes,no,cellular,否
5518,divorced,yes,no,cellular,否
5519,married,no,yes,cellular,否
5520,single,yes,no,cellular,否
5521,married,no,no,cellular,否
5522,married,no,yes,cellular,否
5523,married,yes,yes,unknown,否
5524,divorced,yes,yes,cellular,否
5525,divorced,yes,no,unknown,否
5526,married,yes,no,unknown,否
5527,married,yes,no,unknown,否
5528,single,yes,no,cellular,否
5529,married,no,no,cellular,否
5530,single,no,no,cellular,否
5531,married,no,no,cellular,否
5532,married,no,no,cellular,否
5533,married,no,no,cellular,否
5534,married,no,no,cellular,否
5535,single,no,no,cellular,否
5536,married,yes,yes,telephone,否
5537,married,yes,no,unknown,否
5538,single,yes,yes,unknown,否
5539,married,no,yes,cellular,否
5540,single,no,no,cellular,否
5541,married,yes,no,unknown,否
5542,married,yes,no,cellular,否
5543,married,no,no,unknown,否
5544,married,no,yes,unknown,否
5545,married,no,no,cellular,否
5546,divorced,no,yes,cellular,否
5547,married,yes,no,cellular,否
5548,single,no,no,cellular,否
5549,married,no,yes,cellular,否
5550,single,yes,yes,unknown,否
5551,single,yes,no,unknown,否
5552,single,yes,no,cellular,否
5553,single,yes,yes,cellular,否
5554,married,yes,no,unknown,否
5555,married,yes,no,cellular,否
5556,married,no,no,cellular,否
5557,single,yes,no,cellular,否
5558,married,yes,no,cellular,否
5559,married,no,no,cellular,否
5560,married,no,yes,cellular,否
5561,divorced,yes,no,cellular,否
5562,married,no,no,telephone,否
5563,married,no,no,unknown,否
5564,married,yes,no,cellular,否
5565,single,yes,no,cellular,否
5566,married,yes,no,unknown,否
5567,married,no,yes,cellular,否
5568,married,yes,no,unknown,否
5569,single,yes,no,unknown,否
5570,married,no,no,cellular,否
5571,married,yes,no,cellular,否
5572,married,yes,no,cellular,否
5573,married,yes,yes,cellular,否
5574,married,yes,no,unknown,否
5575,married,no,no,cellular,否
5576,divorced,yes,no,cellular,否
5577,married,no,no,cellular,否
5578,married,yes,no,cellular,否
5579,married,no,no,cellular,否
5580,married,yes,no,cellular,否
5581,single,no,no,cellular,否
5582,single,no,no,telephone,否
5583,married,no,yes,cellular,否
5584,married,yes,no,cellular,否
5585,divorced,no,no,cellular,否
5586,married,yes,yes,unknown,否
5587,divorced,yes,no,cellular,否
5588,single,yes,no,cellular,否
5589,married,yes,no,unknown,否
5590,married,yes,no,cellular,否
5591,married,yes,no,unknown,否
5592,divorced,yes,no,cellular,否
5593,single,yes,no,cellular,否
5594,divorced,yes,no,cellular,否
5595,married,no,no,unknown,否
5596,single,yes,no,telephone,否
5597,single,no,no,cellular,否
5598,divorced,yes,no,unknown,否
5599,married,yes,no,cellular,否
5600,single,yes,no,cellular,否
5601,divorced,no,no,cellular,否
5602,married,yes,no,unknown,否
5603,divorced,no,yes,telephone,否
5604,married,yes,no,unknown,否
5605,divorced,no,yes,cellular,否
5606,married,no,yes,cellular,否
5607,married,yes,no,telephone,否
5608,married,yes,no,unknown,否
5609,married,no,no,cellular,否
5610,single,no,no,cellular,否
5611,married,yes,no,cellular,否
5612,divorced,no,no,unknown,否
5613,divorced,no,yes,unknown,否
5614,married,yes,no,cellular,否
5615,married,yes,no,unknown,否
5616,married,yes,no,cellular,否
5617,married,no,no,cellular,否
5618,married,no,no,cellular,否
5619,divorced,no,no,unknown,否
5620,single,yes,yes,cellular,否
5621,married,yes,yes,unknown,否
5622,married,yes,no,unknown,否
5623,single,yes,no,cellular,否
5624,divorced,yes,no,cellular,否
5625,single,no,no,cellular,否
5626,married,yes,no,cellular,否
5627,married,yes,no,cellular,否
5628,single,yes,no,unknown,否
5629,divorced,no,no,cellular,否
5630,married,no,no,cellular,否
5631,married,yes,no,telephone,否
5632,married,yes,no,cellular,否
5633,married,no,no,unknown,否
5634,divorced,no,no,unknown,否
5635,married,yes,no,cellular,否
5636,married,no,no,cellular,否
5637,married,yes,yes,cellular,否
5638,married,yes,no,unknown,否
5639,married,no,no,cellular,否
5640,married,no,yes,cellular,否
5641,single,yes,no,cellular,否
5642,married,no,yes,cellular,否
5643,married,yes,no,cellular,否
5644,divorced,yes,no,cellular,否
5645,married,no,no,unknown,否
5646,married,no,no,cellular,否
5647,married,yes,yes,cellular,否
5648,married,yes,no,unknown,否
5649,married,yes,yes,unknown,否
5650,married,yes,no,cellular,否
5651,divorced,no,no,unknown,否
5652,married,yes,yes,unknown,否
5653,single,yes,no,unknown,否
5654,married,no,no,cellular,否
5655,married,no,no,cellular,否
5656,married,yes,yes,cellular,否
5657,married,no,yes,cellular,否
5658,single,no,no,cellular,否
5659,married,no,no,cellular,否
5660,married,yes,no,unknown,否
5661,divorced,yes,no,cellular,否
5662,single,yes,no,unknown,否
5663,divorced,no,no,cellular,否
5664,single,no,no,telephone,否
5665,married,no,no,cellular,否
5666,married,no,no,telephone,否
5667,married,yes,no,cellular,否
5668,single,no,no,telephone,否
5669,single,yes,no,unknown,否
5670,married,yes,no,unknown,否
5671,married,yes,no,unknown,否
5672,single,yes,no,unknown,否
5673,single,yes,no,cellular,否
5674,married,no,yes,cellular,否
5675,single,yes,no,cellular,否
5676,married,yes,no,cellular,否
5677,divorced,yes,no,unknown,否
5678,married,yes,no,cellular,否
5679,married,yes,no,cellular,否
5680,married,yes,no,cellular,否
20368,married,no,no,cellular,否
20369,single,no,no,cellular,否
20370,married,no,no,cellular,否
20371,married,yes,no,cellular,否
20372,married,yes,no,cellular,否
20373,married,yes,no,cellular,否
20374,married,no,yes,cellular,否
20375,single,no,no,cellular,否
20376,married,no,no,telephone,否
20377,married,yes,no,unknown,否
20378,single,yes,no,unknown,否
20379,married,no,no,unknown,否
20380,divorced,yes,yes,cellular,否
20381,married,yes,no,cellular,否
20382,single,yes,no,unknown,否
20383,divorced,no,no,unknown,否
20384,divorced,yes,no,unknown,否
20385,married,yes,yes,cellular,否
20386,married,yes,no,unknown,否
20387,married,yes,no,cellular,否
20388,divorced,yes,no,cellular,否
20389,married,yes,no,telephone,否
20390,married,yes,no,unknown,否
20391,married,no,no,cellular,否
20392,married,yes,no,unknown,否
20393,divorced,yes,no,cellular,否
20394,married,yes,no,cellular,否
20395,married,yes,no,unknown,否
20396,married,no,no,unknown,否
20397,single,yes,no,cellular,否
20398,single,yes,no,unknown,否
20399,single,no,no,cellular,否
20400,married,yes,yes,cellular,否
20401,single,no,no,cellular,否
20402,single,no,no,cellular,否
20403,divorced,yes,no,cellular,否
20404,married,yes,yes,cellular,否
20405,married,yes,no,unknown,否
20406,married,no,no,telephone,否
20407,single,yes,no,cellular,否
20408,married,no,no,unknown,否
20409,single,yes,no,telephone,否
20410,married,no,no,cellular,否
20411,single,yes,no,unknown,否
20412,divorced,no,no,cellular,否
20413,married,yes,no,telephone,否
20414,married,yes,no,unknown,否
20415,divorced,no,no,cellular,否
20416,married,no,no,cellular,否
20417,single,yes,no,unknown,否
20418,divorced,yes,yes,cellular,否
20419,married,yes,no,cellular,否
20420,single,yes,no,cellular,否
20421,married,no,no,unknown,否
20422,married,no,no,unknown,否
20423,single,yes,yes,cellular,否
20424,divorced,yes,no,unknown,否
20425,married,yes,no,unknown,否
20426,single,yes,no,cellular,否
20427,married,no,no,cellular,否
20428,married,yes,no,unknown,否
20429,married,yes,no,cellular,否
20430,married,yes,no,cellular,否
20431,married,yes,no,unknown,否
20432,single,no,no,cellular,否
20433,married,no,no,cellular,否
20434,married,yes,yes,cellular,否
20435,single,no,no,cellular,否
20436,single,no,no,cellular,否
20437,married,yes,no,unknown,否
20438,divorced,yes,no,cellular,否
20439,married,no,no,cellular,否
20440,married,yes,no,cellular,否
20441,married,yes,no,unknown,否
20442,married,yes,yes,cellular,否
20443,divorced,yes,yes,cellular,否
20444,single,yes,no,cellular,否
20445,single,yes,yes,cellular,否
20446,married,yes,no,unknown,否
20447,married,yes,no,unknown,否
20448,single,yes,yes,unknown,否
20449,married,yes,yes,cellular,否
20450,married,no,no,cellular,否
20451,married,no,no,cellular,否
20452,single,yes,no,cellular,否
20453,single,no,yes,cellular,否
20454,married,no,no,cellular,否
20455,married,yes,no,cellular,否
20456,divorced,no,no,unknown,否
20457,divorced,no,no,cellular,否
20458,married,no,no,cellular,否
20459,married,yes,no,telephone,否
20460,married,yes,no,cellular,否
20461,married,no,no,cellular,否
20462,married,yes,no,cellular,否
20463,married,no,no,cellular,否
20464,married,yes,no,cellular,否
20465,married,yes,no,cellular,否
20466,married,yes,no,unknown,否
20467,married,yes,yes,cellular,否
20468,married,yes,no,cellular,否
20469,divorced,yes,no,cellular,否
20470,married,yes,no,cellular,否
20471,married,yes,no,cellular,否
20472,married,yes,yes,unknown,否
20473,married,yes,no,unknown,否
20474,single,yes,no,cellular,否
